t (Gyr) =   0.0005
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.010  2387.   -2.47  3.38  0.339    1.000   8.80   8.26   7.85  
 0.015  2514.   -2.21  3.38  0.413    1.000   8.16   7.64   7.25  
 0.020  2594.   -2.05  3.40  0.466    1.000   7.77   7.25   6.89  
 0.030  2668.   -1.79  3.36  0.599    1.000   7.11   6.59   6.25  
 0.040  2733.   -1.66  3.40  0.661    1.000   6.81   6.28   5.96  
 0.050  2762.   -1.48  3.34  0.791    1.000   6.38   5.84   5.53  
 0.060  2808.   -1.40  3.37  0.841    1.000   6.18   5.64   5.35  
 0.070  2835.   -1.33  3.37  0.900    1.000   6.01   5.45   5.17  
 0.072  2832.   -1.29  3.35  0.937    1.000   5.92   5.37   5.09  
 0.075  2836.   -1.27  3.34  0.966    1.000   5.85   5.30   5.01  
 0.080  2837.   -1.20  3.31  1.040    1.000   5.69   5.13   4.85  
 0.090  2864.   -1.13  3.31  1.101    1.000   5.53   4.97   4.70  
 0.100  2925.   -1.15  3.41  1.033    1.000   5.60   5.02   4.77  
 0.110  2945.   -1.07  3.38  1.115    1.000   5.41   4.82   4.57  
 0.130  3006.   -0.93  3.34  1.270    1.000   5.05   4.43   4.20  
 0.150  3076.   -0.79  3.31  1.412    1.000   4.76   4.10   3.88  
 0.170  3139.   -0.67  3.28  1.565    1.000   4.48   3.78   3.57  
 0.200  3220.   -0.54  3.26  1.728    1.000   4.19   3.44   3.24  
 0.300  3460.   -0.20  3.23  2.203    1.000   3.47   2.62   2.43  
 0.400  3670.   -0.05  3.30  2.338    1.000   3.20   2.32   2.14  
 0.500  3848.    0.07  3.36  2.444    1.000   2.95   2.10   1.92  
 0.600  3987.    0.16  3.41  2.524    1.000   2.77   1.96   1.79  
 0.700  4110.    0.26  3.43  2.657    1.000   2.55   1.79   1.63  
 0.800  4221.    0.35  3.44  2.805    1.000   2.35   1.62   1.48  
 0.900  4315.    0.43  3.45  2.944    1.000   2.17   1.48   1.34  
 1.000  4397.    0.50  3.46  3.079    1.000   2.01   1.35   1.22  
 1.100  4471.    0.57  3.47  3.209    1.000   1.87   1.23   1.10  
 1.200  4537.    0.63  3.47  3.344    1.000   1.73   1.12   1.00  
 1.300  4596.    0.68  3.47  3.469    1.000   1.61   1.02   0.90  
 1.400  4647.    0.74  3.47  3.601    1.000   1.50   0.92   0.80  
-----------------------------------------------------------------------------------------------
t (Gyr) = 0.0010
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.010  2345.   -2.70  3.57  0.271    1.000   9.35   8.79   8.38  
 0.015  2504.   -2.42  3.59  0.326    1.000   8.69   8.16   7.77  
 0.020  2598.   -2.25  3.60  0.372    1.000   8.26   7.73   7.37  
 0.030  2710.   -1.98  3.58  0.467    1.000   7.61   7.08   6.74  
 0.040  2779.   -1.81  3.58  0.536    1.000   7.21   6.68   6.36  
 0.050  2824.   -1.65  3.54  0.628    1.000   6.81   6.27   5.97  
 0.060  2864.   -1.53  3.52  0.702    1.000   6.52   5.97   5.68  
 0.070  2897.   -1.41  3.50  0.781    1.000   6.24   5.69   5.42  
 0.072  2896.   -1.39  3.49  0.803    1.000   6.19   5.63   5.36  
 0.075  2897.   -1.36  3.48  0.829    1.000   6.11   5.56   5.29  
 0.080  2898.   -1.31  3.45  0.877    1.000   5.99   5.43   5.16  
 0.090  2908.   -1.23  3.43  0.959    1.000   5.78   5.22   4.95  
 0.100  2936.   -1.17  3.44  1.002    1.000   5.65   5.08   4.82  
 0.110  2955.   -1.10  3.41  1.079    1.000   5.47   4.88   4.63  
 0.130  3012.   -0.96  3.38  1.214    1.000   5.15   4.53   4.30  
 0.150  3078.   -0.85  3.37  1.327    1.000   4.89   4.24   4.02  
 0.170  3142.   -0.73  3.34  1.465    1.000   4.62   3.93   3.71  
 0.200  3226.   -0.66  3.38  1.503    1.000   4.49   3.76   3.56  
 0.300  3428.   -0.48  3.49  1.636    1.000   4.13   3.34   3.14  
 0.400  3634.   -0.32  3.55  1.753    1.000   3.83   2.99   2.80  
 0.500  3802.   -0.18  3.59  1.870    1.000   3.56   2.72   2.54  
 0.600  3955.   -0.07  3.63  1.971    1.000   3.32   2.51   2.35  
