  t (Gyr) =   0.0005
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    U*      G     R      I     12k.I   ZPR     Z      Y     J       H     Ks   CH4_ON  CH4_OFF
 0.010  2387.   -2.47  3.38  0.339    1.000  13.78  17.08  16.00  12.32  11.45   9.48  10.79   9.63   8.69   8.30   7.91   8.03   8.34  
 0.015  2514.   -2.21  3.38  0.413    1.000  12.49  15.77  14.89  11.31  10.55   8.79   9.95   8.92   8.06   7.67   7.31   7.43   7.71  
 0.020  2594.   -2.05  3.40  0.466    1.000  11.74  15.00  14.19  10.72  10.02   8.38   9.44   8.49   7.68   7.28   6.94   7.05   7.32  
 0.030  2668.   -1.79  3.36  0.599    1.000  10.80  14.03  13.25   9.91   9.25   7.70   8.70   7.81   7.03   6.62   6.30   6.40   6.66  
 0.040  2733.   -1.66  3.40  0.661    1.000  10.25  13.45  12.66   9.46   8.84   7.38   8.32   7.48   6.73   6.31   6.01   6.09   6.34  
 0.050  2762.   -1.48  3.34  0.791    1.000   9.75  12.94  12.16   8.99   8.39   6.94   7.87   7.04   6.30   5.87   5.58   5.65   5.91  
 0.060  2808.   -1.40  3.37  0.841    1.000   9.43  12.58  11.80   8.72   8.13   6.74   7.63   6.84   6.11   5.66   5.39   5.45   5.70  
 0.070  2835.   -1.33  3.37  0.900    1.000   9.21  12.34  11.57   8.51   7.93   6.55   7.44   6.65   5.93   5.48   5.22   5.27   5.52  
 0.072  2832.   -1.29  3.35  0.937    1.000   9.14  12.27  11.51   8.44   7.86   6.47   7.36   6.57   5.85   5.39   5.13   5.18   5.43  
 0.075  2836.   -1.27  3.34  0.966    1.000   9.06  12.19  11.44   8.36   7.79   6.40   7.29   6.50   5.77   5.32   5.06   5.11   5.36  
 0.080  2837.   -1.20  3.31  1.040    1.000   8.91  12.05  11.30   8.21   7.63   6.24   7.13   6.33   5.61   5.15   4.90   4.94   5.19  
 0.090  2864.   -1.13  3.31  1.101    1.000   8.72  11.83  11.10   8.03   7.46   6.08   6.96   6.17   5.46   4.99   4.74   4.78   5.03  
 0.100  2925.   -1.15  3.41  1.033    1.000   8.64  11.69  10.96   7.99   7.45   6.13   6.97   6.23   5.53   5.05   4.81   4.84   5.09  
 0.110  2945.   -1.07  3.38  1.115    1.000   8.41  11.45  10.72   7.78   7.24   5.94   6.77   6.03   5.34   4.84   4.62   4.64   4.88  
 0.130  3006.   -0.93  3.34  1.270    1.000   7.94  10.92  10.21   7.35   6.83   5.58   6.38   5.67   4.99   4.45   4.25   4.25   4.49  
 0.150  3076.   -0.79  3.31  1.412    1.000   7.45  10.36   9.64   6.94   6.45   5.27   6.02   5.37   4.70   4.12   3.92   3.93   4.15  
 0.170  3139.   -0.67  3.28  1.565    1.000   7.04   9.90   9.16   6.58   6.12   4.98   5.70   5.08   4.42   3.80   3.61   3.61   3.83  
 0.200  3220.   -0.54  3.26  1.728    1.000   6.60   9.41   8.65   6.20   5.76   4.69   5.37   4.78   4.13   3.46   3.28   3.29   3.49  
 0.300  3460.   -0.20  3.23  2.203    1.000   5.42   8.02   7.18   5.18   4.83   3.94   4.50   4.04   3.42   2.64   2.46   2.49   2.66  
 0.400  3670.   -0.05  3.30  2.338    1.000   4.74   7.15   6.19   4.65   4.38   3.64   4.10   3.74   3.15   2.34   2.16   2.21   2.35  
 0.500  3848.    0.07  3.36  2.444    1.000   4.22   6.41   5.36   4.20   3.99   3.36   3.76   3.45   2.90   2.11   1.95   2.00   2.12  
 0.600  3987.    0.16  3.41  2.524    1.000   3.91   5.96   4.86   3.92   3.73   3.16   3.53   3.25   2.72   1.97   1.81   1.87   1.98  
