log(sep) DeltaG log(RUWE) sigma_log(RUWE)
 1.275 -0.100 0.018299  0.27003 
 1.325 -0.100 0.031200  0.26287 
 1.375 -0.100 0.050381  0.25699 
 1.425 -0.100 0.077594  0.25203 
 1.475 -0.100 0.114602  0.24773 
 1.525 -0.100 0.163039  0.24393 
 1.575 -0.100 0.224262  0.24059 
 1.625 -0.100 0.299202  0.23770 
 1.675 -0.100 0.388213  0.23530 
 1.725 -0.100 0.490950  0.23340 
 1.775 -0.100 0.606282  0.23199 
 1.825 -0.100 0.732250  0.23102 
 1.875 -0.100 0.866086  0.23043 
 1.925 -0.100 1.004286  0.23013 
 1.975 -0.100 1.142749  0.23006 
 2.025 -0.100 1.276968  0.23017 
 2.075 -0.100 1.402265  0.23042 
 2.125 -0.100 1.514047  0.23078 
 2.175 -0.100 1.608075  0.23124 
 2.225 -0.100 1.680718  0.23179 
 2.275 -0.100 1.729179  0.23241 
 2.325 -0.100 1.751658  0.23307 
 2.375 -0.100 1.747471  0.23373 
 2.425 -0.100 1.717074  0.23434 
 2.475 -0.100 1.662034  0.23487 
 2.525 -0.100 1.584916  0.23526 
 2.575 -0.100 1.489113  0.23548 
 2.625 -0.100 1.378630  0.23552 
 2.675 -0.100 1.257842  0.23536 
 2.725 -0.100 1.131236  0.23505 
 2.775 -0.100 1.003164  0.23462 
 2.825 -0.100 0.877629  0.23414 
 2.875 -0.100 0.758099  0.23369 
 2.925 -0.100 0.647379  0.23334 
 2.975 -0.100 0.547534  0.23316 
 3.025 -0.100 0.459868  0.23322 
 3.075 -0.100 0.384951  0.23363 
 3.125 -0.100 0.322689  0.23453 
 3.175 -0.100 0.272427  0.23611 
 3.225 -0.100 0.233075  0.23867 
 3.275 -0.100 0.203238  0.24261 
 3.325 -0.100 0.181347  0.24836 
 1.275  0.000 0.020826  0.26728 
 1.325  0.000 0.033464  0.26029 
 1.375  0.000 0.052249  0.25461 
 1.425  0.000 0.078933  0.24987 
 1.475  0.000 0.115283  0.24579 
 1.525  0.000 0.162941  0.24220 
 1.575  0.000 0.223286  0.23905 
 1.625  0.000 0.297271  0.23635 
 1.675  0.000 0.385280  0.23411 
 1.725  0.000 0.487003  0.23235 
 1.775  0.000 0.601345  0.23106 
 1.825  0.000 0.726384  0.23018 
 1.875  0.000 0.859386  0.22965 
 1.925  0.000 0.996879  0.22938 
 1.975  0.000 1.134789  0.22932 
 2.025  0.000 1.268627  0.22940 
 2.075  0.000 1.393724  0.22959 
 2.125  0.000 1.505487  0.22989 
 2.175  0.000 1.599669  0.23027 
 2.225  0.000 1.672623  0.23073 
 2.275  0.000 1.721526  0.23126 
 2.325  0.000 1.744550  0.23184 
 2.375  0.000 1.740974  0.23243 
 2.425  0.000 1.711221  0.23299 
 2.475  0.000 1.656821  0.23348 
 2.525  0.000 1.580307  0.23386 
 2.575  0.000 1.485044  0.23408 
 2.625  0.000 1.375015  0.23414 
 2.675  0.000 1.254579  0.23402 
 2.725  0.000 1.128214  0.23375 
 2.775  0.000 1.000272  0.23337 
 2.825  0.000 0.874761  0.23294 
 2.875  0.000 0.755161  0.23254 
 2.925  0.000 0.644292  0.23222 
 2.975  0.000 0.544240  0.23205 
 3.025  0.000 0.456331  0.23210 
 3.075  0.000 0.381154  0.23246 
 3.125  0.000 0.318639  0.23325 
 3.175  0.000 0.268149  0.23468 
 3.225  0.000 0.228610  0.23704 
 3.275  0.000 0.198638  0.24073 
 3.325  0.000 0.176674  0.24620 
 1.275  0.100 0.023323  0.26477 
 1.325  0.100 0.035669  0.25795 
 1.375  0.100 0.054023  0.25247 
 1.425  0.100 0.080132  0.24794 
 1.475  0.100 0.115764  0.24406 
 1.525  0.100 0.162575  0.24068 
 1.575  0.100 0.221958  0.23772 
 1.625  0.100 0.294891  0.23519 
 1.675  0.100 0.381790  0.23310 
 1.725  0.100 0.482378  0.23148 
 1.775  0.100 0.595600  0.23029 
 1.825  0.100 0.719573  0.22950 
 1.875  0.100 0.851602  0.22902 
 1.925  0.100 0.988250  0.22878 
 1.975  0.100 1.125472  0.22872 
 2.025  0.100 1.258803  0.22877 
 2.075  0.100 1.383586  0.22892 
 2.125  0.100 1.495235  0.22915 
 2.175  0.100 1.589498  0.22946 
 2.225  0.100 1.662712  0.22984 
 2.275  0.100 1.712033  0.23029 
 2.325  0.100 1.735603  0.23079 
 2.375  0.100 1.732666  0.23132 
 2.425  0.100 1.703610  0.23183 
 2.475  0.100 1.649927  0.23229 
 2.525  0.100 1.574114  0.23265 
 2.575  0.100 1.479503  0.23288 
 2.625  0.100 1.370052  0.23295 
 2.675  0.100 1.250100  0.23286 
 2.725  0.100 1.124111  0.23263 
 2.775  0.100 0.996434  0.23231 
 2.825  0.100 0.871077  0.23193 
 2.875  0.100 0.751529  0.23157 
 2.925  0.100 0.640624  0.23129 
 2.975  0.100 0.540467  0.23113 
 3.025  0.100 0.452401  0.23117 
 3.075  0.100 0.377040  0.23148 
 3.125  0.100 0.314334  0.23217 
 3.175  0.100 0.263665  0.23346 
 3.225  0.100 0.223977  0.23563 
 3.275  0.100 0.193900  0.23907 
 3.325  0.100 0.171885  0.24427 
 1.275  0.200 0.025786  0.26249 
 1.325  0.200 0.037814  0.25584 
 1.375  0.200 0.055700  0.25055 
 1.425  0.200 0.081188  0.24622 
 1.475  0.200 0.116046  0.24255 
 1.525  0.200 0.161940  0.23936 
 1.575  0.200 0.220279  0.23658 
 1.625  0.200 0.292066  0.23420 
 1.675  0.200 0.377746  0.23226 
 1.725  0.200 0.477081  0.23076 
 1.775  0.200 0.589055  0.22967 
 1.825  0.200 0.711827  0.22895 
 1.875  0.200 0.842745  0.22852 
 1.925  0.200 0.978409  0.22831 
 1.975  0.200 1.114809  0.22825 
 2.025  0.200 1.247508  0.22828 
 2.075  0.200 1.371866  0.22839 
 2.125  0.200 1.483306  0.22856 
 2.175  0.200 1.577574  0.22880 
 2.225  0.200 1.650997  0.22911 
 2.275  0.200 1.700710  0.22948 
 2.325  0.200 1.724826  0.22991 
 2.375  0.200 1.722556  0.23038 
 2.425  0.200 1.694248  0.23084 
 2.475  0.200 1.641356  0.23127 
 2.525  0.200 1.566338  0.23162 
 2.575  0.200 1.472491  0.23185 
 2.625  0.200 1.363742  0.23194 
 2.675  0.200 1.244405  0.23188 
 2.725  0.200 1.118928  0.23170 
 2.775  0.200 0.991650  0.23142 
 2.825  0.200 0.866578  0.23109 
 2.875  0.200 0.747205  0.23078 
 2.925  0.200 0.636378  0.23053 
 2.975  0.200 0.536216  0.23039 
 3.025  0.200 0.448083  0.23042 
 3.075  0.200 0.372614  0.23068 
 3.125  0.200 0.309779  0.23129 
 3.175  0.200 0.258983  0.23244 
 3.225  0.200 0.219185  0.23441 
 3.275  0.200 0.189034  0.23762 
 3.325  0.200 0.166990  0.24253 
 1.275  0.300 0.028210  0.26045 
 1.325  0.300 0.039894  0.25395 
 1.375  0.300 0.057278  0.24885 
 1.425  0.300 0.082100  0.24471 
 1.475  0.300 0.116129  0.24123 
 1.525  0.300 0.161037  0.23822 
 1.575  0.300 0.218252  0.23560 
 1.625  0.300 0.288800  0.23338 
 1.675  0.300 0.373157  0.23157 
 1.725  0.300 0.471122  0.23018 
 1.775  0.300 0.581722  0.22918 
 1.825  0.300 0.703160  0.22853 
 1.875  0.300 0.832829  0.22814 
 1.925  0.300 0.967373  0.22795 
 1.975  0.300 1.102819  0.22789 
 2.025  0.300 1.234760  0.22791 
 2.075  0.300 1.358581  0.22798 
 2.125  0.300 1.469716  0.22810 
 2.175  0.300 1.563914  0.22828 
 2.225  0.300 1.637495  0.22852 
 2.275  0.300 1.687571  0.22882 
 2.325  0.300 1.712232  0.22919 
 2.375  0.300 1.710654  0.22960 
 2.425  0.300 1.683144  0.23002 
 2.475  0.300 1.631117  0.23042 
 2.525  0.300 1.556987  0.23075 
 2.575  0.300 1.464014  0.23098 
 2.625  0.300 1.356089  0.23109 
 2.675  0.300 1.237498  0.23106 
 2.725  0.300 1.112668  0.23092 
 2.775  0.300 0.985924  0.23068 
 2.825  0.300 0.861267  0.23041 
 2.875  0.300 0.742193  0.23014 
 2.925  0.300 0.631557  0.22993 
 2.975  0.300 0.531493  0.22981 
 3.025  0.300 0.443382  0.22983 
 3.075  0.300 0.367881  0.23005 
 3.125  0.300 0.304982  0.23057 
 3.175  0.300 0.254109  0.23159 
 3.225  0.300 0.214244  0.23338 
 3.275  0.300 0.184048  0.23635 
 3.325  0.300 0.161998  0.24099 
 1.275  0.400 0.030593  0.25864 
 1.325  0.400 0.041906  0.25229 
 1.375  0.400 0.058754  0.24735 
 1.425  0.400 0.082867  0.24340 
 1.475  0.400 0.116012  0.24009 
 1.525  0.400 0.159871  0.23725 
 1.575  0.400 0.215883  0.23479 
 1.625  0.400 0.285101  0.23271 
 1.675  0.400 0.368032  0.23101 
 1.725  0.400 0.464513  0.22972 
 1.775  0.400 0.573614  0.22880 
 1.825  0.400 0.693588  0.22821 
 1.875  0.400 0.821874  0.22787 
 1.925  0.400 0.955162  0.22770 
 1.975  0.400 1.089521  0.22764 
 2.025  0.400 1.220581  0.22764 
 2.075  0.400 1.343753  0.22767 
 2.125  0.400 1.454489  0.22775 
 2.175  0.400 1.548542  0.22787 
 2.225  0.400 1.622225  0.22805 
 2.275  0.400 1.672638  0.22830 
