JD RV RVerr	
2458690.30040   7.43    0.13
2458693.29021   7.98    0.13
2458700.28479   7.75    0.24
2458705.26752   7.95    0.33
2458709.23723   7.79    0.13
2458680.52486   8.24    0.35
2458682.53411   7.40    0.74
2458684.47585   7.83    0.79
2458685.47600   7.80    0.50
2458692.47785   7.91    0.79
2458695.56019   7.96    0.79
2458707.51588   8.52    0.85
2458708.48220   8.41    0.42
2458694.61145   7.26    0.1397
2458695.59035   7.64543 0.2229
2458698.55321   7.72739 0.151
2458700.5308    7.9374  0.184
2458701.479     7.5962  0.158
2458702.5499    7.4053  0.1108
2458704.48051   7.9633  0.1287
2458705.53525   7.60724 0.130
2458706.50439   7.5427  0.166
2458707.46434   7.6085  0.1334
2458708.4888    7.2007  0.2368
2453075.78544   8.58    0.07
